A&B,Anode,Bnode,recordtime,Traveltime,Numtrips,Link Length,osm_class,Lanes,Speed,vol per lane,Volume
59729449742856258,597294497,42856258,40456.70833,5.38382,4,62.782,primary,1,23.85,359,359
103872547440243663,103872547,440243663,40456.70833,24.9135,1,220.172,residential,1,18.08,707,707
2089938031276299282,2089938031,276299282,40456.70833,127.396,1,598.373,trunk,2,9.61,715,1430
4245876642446036,42458766,42446036,40456.70833,53.3061,27,144.894,secondary,1,5.56,508,508
103865593103865598,103865593,103865598,40456.70833,8.72743,6,261.823,tertiary,1,61.36,1347,1347
4275304142753509,42753041,42753509,40456.70833,40.2453,1,52.755,secondary,1,2.68,277,277
42832974276209340,42832974,276209340,40456.70833,134.741,1,207.442,secondary,1,3.15,319,319
4290067142900665,42900671,42900665,40456.70833,31.0346,1,152.106,residential,1,10.03,729,729
58793385560927817,587933855,60927817,40456.70833,6.7189,21,97.19,secondary_link,1,29.59,1679,1679
4275324042753246,42753240,42753246,40456.70833,39.6257,4,172.549,primary,1,8.91,689,689
27356602342735660226,2735660234,2735660226,40456.70833,17.3155,1,73.797,secondary,1,8.72,681,681
4290067542900671,42900675,42900671,40456.70833,62.6909,1,116.081,residential,1,3.79,374,374
42436703596775919,42436703,596775919,40456.70833,20.3365,252,79.6,secondary,1,8.01,649,649
42436703596775914,42436703,596775914,40456.70833,52.3459,197,79.835,secondary,1,3.12,317,317
42825301597311311,42825301,597311311,40456.70833,9.14481,26,256.701,motorway_link,1,57.42,1508,1508
599062332596747483,599062332,596747483,40456.70833,7.37396,5,206.992,motorway,2,57.42,1508,3016
182917725860926796,1829177258,60926796,40456.70833,26.9382,1,182.2,motorway_link,1,13.83,786,786
4245894342438300,42458943,42438300,40456.70833,24.0948,22,76.921,residential,1,6.53,570,570
4245894342437845,42458943,42437845,40456.70833,7.90752,12,82.7,residential,1,21.39,541,541
595254573595250374,595254573,595250374,40456.70833,12.8469,101,140.516,construction,1,22.37,474,474
4275386142732798,42753861,42732798,40456.70833,14.6322,1,71.715,residential,1,10.03,729,729
191959591642436788,1919595916,42436788,40456.70833,19.5115,245,71.471,primary,1,7.49,624,624
481404934599275159,481404934,599275159,40456.70833,14.8704,60,234.214,motorway_link,1,32.22,1736,1736
42436640596776349,42436640,596776349,40456.70833,34.2758,3,142.712,residential,1,8.52,673,673
42825299597311206,42825299,597311206,40456.70833,5.65678,347,45.809,secondary,1,16.56,752,752
191959591442440697,1919595914,42440697,40456.70833,5.71203,68,67.903,primary,1,24.32,319,319
424460211834852948,42446021,1834852948,40456.70833,39.4023,442,154.226,residential,1,8.01,649,649
370924677370924689,370924677,370924689,40456.70833,26.5247,169,80.209,motorway_link,1,6.19,549,549
42436610596776413,42436610,596776413,40456.70833,36.5496,24,143.06,residential,1,8.01,649,649
191959591342436968,1919595913,42436968,40456.70833,73.9713,220,188.166,tertiary,1,5.20,483,483
191959592742436788,1919595927,42436788,40456.70833,30.4131,74,77.364,primary,1,5.20,483,483
264010327042428985,2640103270,42428985,40456.70833,28.8136,1,72.061,residential,1,5.12,477,477
4290290742827234,42902907,42827234,40456.70833,25.6719,1,90.322,tertiary,1,7.20,608,608
